feature_index,feature_name_bert,mse_autoencoder,mse_bert,mse_pct_improvement,mae_autoencoder,mae_bert,mae_pct_improvement,rmse_autoencoder,rmse_bert,rmse_pct_improvement,avg_pct_improvement
43,feature_43,0.3213979309325199,0.0302704771915754,90.5816203907265,0.4368735884586653,0.138827767397208,68.22243983963266,0.5669196864922931,0.1739841291370437,69.31062136622258,76.03822719886057
25,feature_25,3.786131931259338,1.3545474660197103,64.22344781923215,1.0183897569876743,0.607332783028044,40.36342384034852,1.9457985330602288,1.163850276461586,40.18649635678593,48.25778933878886
22,feature_22,0.8012529086777889,0.3445348768986553,57.00048347191654,0.6999786253423804,0.4371233587135831,37.55189903123499,0.8951273142284224,0.5869709336063034,34.425983401896545,42.99278863501602
27,feature_27,0.8476784004606573,0.447364210054314,47.22477182252125,0.7196593073020419,0.5030074695359188,30.104778131521343,0.9206945207074154,0.6688529061417869,27.353439050785926,34.89432966827617
30,feature_30,0.8565834902577191,0.4716233743735993,44.941342001384754,0.7794284953934263,0.5348310093609935,31.381645330912512,0.925517957825627,0.686748406895567,25.798478453191237,34.040488595162834
0,feature_0,1.4567985005291335,0.8997856090287288,38.23541082023961,0.7161425329930279,0.5683971140827315,20.6307281167637,1.2069790804024456,0.948570297357412,21.409549447938385,26.758562794980563
2,feature_2,0.9276260683827192,0.628198765874004,32.27887968163242,0.5701999665400896,0.4047744654195717,29.011839850553063,0.9631334634321036,0.7925899102776947,17.707156861384608,26.33262546452336
13,feature_13,0.9291453669696216,0.6132527792151705,33.99818790301079,0.7656279040089642,0.5672240510613795,25.913874338788688,0.9639218676685478,0.7831045774449097,18.758500692694483,26.223520978164654
17,feature_17,4.781903630789342,3.27319202428567,31.550439385467737,1.2588928831548805,0.963157214695904,23.491726136209508,2.1867564177999665,1.8091965134516677,17.26575037233233,24.10263863133653
40,feature_40,5.81119305434512,4.116234424800797,29.167136828761453,1.3440665727714145,1.0364747420474352,22.885163350929606,2.410641627107837,2.028850518101517,15.837738165351976,22.630012781681014
12,feature_12,4.66600992436504,3.423165561776332,26.636127713719702,1.3004246965263944,1.0055000361833917,22.679103306080336,2.1600948878151254,1.850179872816784,14.347287091254202,21.220839370351413
6,feature_6,0.5261276880758217,0.38577824724053,26.675927539298318,0.4674911883715139,0.3690086102854208,21.06618916800401,0.7253465985829268,0.6211104951943173,14.370523497628637,20.704213401643656
28,feature_28,0.978565828872012,0.6866112276480018,29.8349474925509,0.5127061114915339,0.4795908350971115,6.458919769472892,0.98922486264348,0.8286200743694312,16.235417682979456,17.50976164833442
33,feature_33,0.9302716446713148,0.7238836100908864,22.18578151474775,0.6733750357943227,0.5506448609857445,18.22612486128238,0.964505907017326,0.8508134990060315,11.787632111334712,17.39984616245495
34,feature_34,0.8654086132034362,0.6691373327004482,22.67960793415971,0.5504512504668825,0.4609539099461529,16.25890402552808,0.9302734077696924,0.8180081495318052,12.067985314880744,17.00216575818951
18,feature_18,0.8249555123256972,0.6631113773421937,19.61852882554065,0.4884495794167082,0.4053326531763571,17.01648025567078,0.9082706162403896,0.8143165093145255,10.34428563975448,15.659764906988636
10,feature_10,0.6432834318974103,0.5028145988312376,21.836227407855027,0.5828285607569721,0.5272225035405254,9.540722771757466,0.8020495196042513,0.7090942101239,11.589721982031424,14.322224053881305
37,feature_37,0.8888689289716135,0.691892411214517,22.16035585640176,0.4218669809045069,0.3926071326024029,6.935799582932339,0.9427984561779964,0.8318007040238166,11.773221670743162,13.623125703359088
41,feature_41,0.8379281965886454,0.7230933996436131,13.704610659069019,0.5137183943911853,0.4480460672933267,12.783721162191936,0.9153841797784388,0.8503489869715922,7.1046883094033575,11.197673376888105
38,feature_38,0.8295099041334661,0.6834580052835533,17.60701085329217,0.4468731986118028,0.422263838785483,5.507011810680965,0.9107743431462406,0.8267151899436427,9.22941602770872,10.781146230560617
19,feature_19,4.55382436815239,3.98155947265625,12.566687892012915,1.186073938620518,1.0296910251571838,13.184921139504821,2.1339691582008373,1.9953845425521997,6.494218302830544,10.748609111449428
23,feature_23,0.8192542766434263,0.6884422314647659,15.96720931559998,0.4183239759711155,0.3886812048680279,7.086079882051606,0.9051266633148236,0.8297241899961492,8.330599061409789,10.461296086353792
36,feature_36,1.1013331159736055,0.9687954093781126,12.034297768148589,0.7102271974601594,0.6234295328451818,12.221112472934632,1.0494441938348154,0.9842740519683084,6.209967356945981,10.155125866009733
42,feature_42,0.8188879108565738,0.6974173610246513,14.833599106972,0.4278034576537599,0.4359388438433765,-1.901664431193295,0.9049242569721369,0.8351151782985694,7.714355995621953,6.882096890466887
39,feature_39,0.7733691546314742,0.6903270017585906,10.73771204547908,0.4608815262387948,0.4692149019157744,-1.8081383614976736,0.879414097357709,0.8308591949052443,5.521278610196606,4.816950764726005
15,feature_15,3.327716327269049,3.286388781908499,1.2419191209866782,0.1564201985028635,0.1379883839155098,11.783525889731107,1.824202929300644,1.8128399769170196,0.6228995799267129,4.5494481968814995
4,feature_4,0.5802573677944473,0.5632943705646165,2.9233574912296136,0.5536190892679282,0.5074108840030503,8.34657008051886,0.7617462620810471,0.7505293935380656,1.472520326169727,4.247482632639401
11,feature_11,1.1541243634835658,1.0986567448954183,4.806034803799319,0.5989178458042829,0.5708196689803287,4.691490998439252,1.074301802792663,1.048168280809631,2.432605243247047,3.9767103484952053
20,feature_20,22.715616936939742,22.42992096769173,1.2577072858779375,1.7939252754606574,1.649048970329619,8.075938675530175,4.766090319847049,4.736023750752495,0.6308434602959495,3.321496473901354
14,feature_14,0.6876339283491036,0.6381433605422062,7.1972259899560465,0.6094643192853586,0.622508081346489,-2.140201099290802,0.829236955489264,0.7988387575363417,3.665803574201159,2.907609488288801
1,feature_1,0.4873208151767928,0.4781680858596862,1.878173275604115,0.5293775748568227,0.508305211186504,3.9805924298961917,0.6980836734781819,0.6914969890460018,0.9435379571852996,2.2674345542285357
32,feature_32,0.9984935383466136,1.0710102385380351,-7.262610863912104,0.411102084630229,0.3981628567760209,3.147448854667435,0.999246485281091,1.0348962453009651,-3.5676642895417143,-2.560942099595461
8,feature_8,0.6106272316982072,0.6349099519889193,-3.976684797233781,0.5894986973979084,0.6296172454712401,-6.805536339676066,0.7814264083701082,0.7968123693749485,-1.9689584124667778,-4.250393183125541
31,feature_31,0.590667999875498,0.676035324716758,-14.452674744400213,0.4870573969746016,0.4569225916645916,6.187115830124931,0.7685492826588923,0.8222136733944273,-6.982556869987089,-5.082705261420791
5,feature_5,0.4568713194098605,0.4990695044042579,-9.236339249507873,0.4946868284673805,0.5244154950510458,-6.009593317002091,0.6759225690934284,0.7064485150414416,-4.516189774363602,-6.587374113624523
21,feature_21,0.6168089719248008,0.6336162191079432,-2.7248707376441175,0.4334676139193227,0.5161668287786355,-19.078522178753783,0.7853718685596021,0.7960001376306057,-1.3532785545904857,-7.7188904903294615
7,feature_7,0.6334446347422809,0.72292055508435,-14.12529453003778,0.4078925314367529,0.4751216956393177,-16.482077758511064,0.7958923512274011,0.8502473493544982,-6.829440946790413,-12.478937745113086
26,feature_26,0.6805867148593128,0.8727937461093127,-28.241372782266538,0.6087439079619024,0.6595254789436006,-8.342025327484071,0.8249767965581292,0.9342343100685784,-13.243707455322443,-16.609035188357684
9,feature_9,0.4015480040774402,0.5394642084007719,-34.34613120296671,0.4674366541645916,0.5394534669914094,-15.40675344673752,0.6336781549631013,0.7344822723529628,-15.907778515061999,-21.88688772158874
16,feature_16,0.2616144776363296,0.5671198002910234,-116.7769174760186,0.3902715917579681,0.5337055002645668,-36.75233133431629,0.5114826269154502,0.7530735689765133,-47.23346001368663,-66.9209029413405
35,feature_35,0.3066086217629482,0.7902263453996514,-157.73128650328957,0.4167821370766932,0.6768202626992031,-62.39185955674959,0.5537225133249941,0.8889467618477788,-60.54011539278571,-93.55442048427494
29,feature_29,0.2163981530907619,0.6169443728990289,-185.09687540645024,0.2694026810725846,0.5364012884010831,-99.10762812956627,0.4651861488595312,0.7854580656527941,-68.84811974269961,-117.68420775957203
3,feature_3,0.1810801876478461,0.6282694402079183,-246.95647733132407,0.2586277997385458,0.5460339631707545,-111.12732804545979,0.425535177920517,0.7926344934507444,-86.26767763928453,-148.11716100535614
24,feature_24,0.1749641739681897,0.6273071857102839,-258.53464825566795,0.2444242463738795,0.533840447390127,-118.40732059516994,0.4182871907770901,0.7920272632367423,-89.35011176539291,-155.4306935387436
