feature_index,feature_name,mse,mae,rmse
24,feature_24,0.17496417396818975,0.2444242463738795,0.4182871907770901
3,feature_3,0.1810801876478461,0.2586277997385458,0.42553517792051704
29,feature_29,0.21639815309076196,0.26940268107258464,0.46518614885953125
16,feature_16,0.26161447763632967,0.3902715917579681,0.5114826269154502
35,feature_35,0.30660862176294823,0.4167821370766932,0.5537225133249941
43,feature_43,0.3213979309325199,0.43687358845866536,0.5669196864922931
9,feature_9,0.40154800407744023,0.4674366541645916,0.6336781549631013
5,feature_5,0.45687131940986053,0.4946868284673805,0.6759225690934284
1,feature_1,0.4873208151767928,0.5293775748568227,0.6980836734781819
6,feature_6,0.5261276880758217,0.46749118837151393,0.7253465985829268
4,feature_4,0.5802573677944473,0.5536190892679282,0.7617462620810471
31,feature_31,0.590667999875498,0.4870573969746016,0.7685492826588923
8,feature_8,0.6106272316982072,0.5894986973979084,0.7814264083701082
21,feature_21,0.6168089719248008,0.4334676139193227,0.7853718685596021
7,feature_7,0.6334446347422809,0.40789253143675297,0.7958923512274011
10,feature_10,0.6432834318974103,0.5828285607569721,0.8020495196042513
26,feature_26,0.6805867148593128,0.6087439079619024,0.8249767965581292
14,feature_14,0.6876339283491036,0.6094643192853586,0.829236955489264
39,feature_39,0.7733691546314742,0.4608815262387948,0.879414097357709
22,feature_22,0.8012529086777889,0.6999786253423804,0.8951273142284224
42,feature_42,0.8188879108565738,0.42780345765375993,0.9049242569721367
23,feature_23,0.8192542766434263,0.41832397597111554,0.9051266633148237
18,feature_18,0.8249555123256972,0.4884495794167082,0.9082706162403896
38,feature_38,0.8295099041334661,0.4468731986118028,0.9107743431462406
41,feature_41,0.8379281965886454,0.5137183943911853,0.9153841797784389
27,feature_27,0.8476784004606573,0.7196593073020419,0.9206945207074154
30,feature_30,0.8565834902577191,0.7794284953934263,0.925517957825627
34,feature_34,0.8654086132034362,0.5504512504668825,0.9302734077696923
37,feature_37,0.8888689289716135,0.42186698090450697,0.9427984561779965
2,feature_2,0.9276260683827191,0.5701999665400896,0.9631334634321035
13,feature_13,0.9291453669696215,0.7656279040089642,0.9639218676685478
33,feature_33,0.9302716446713147,0.6733750357943227,0.964505907017326
28,feature_28,0.9785658288720119,0.5127061114915339,0.9892248626434801
32,feature_32,0.9984935383466136,0.41110208463022907,0.999246485281091
36,feature_36,1.1013331159736055,0.7102271974601594,1.0494441938348154
11,feature_11,1.1541243634835658,0.5989178458042829,1.074301802792663
0,feature_0,1.4567985005291335,0.7161425329930279,1.2069790804024456
15,feature_15,3.327716327269049,0.15642019850286354,1.8242029293006436
25,feature_25,3.786131931259338,1.0183897569876743,1.9457985330602288
19,feature_19,4.55382436815239,1.186073938620518,2.1339691582008373
12,feature_12,4.6660099243650395,1.3004246965263944,2.1600948878151254
17,feature_17,4.781903630789342,1.2588928831548805,2.1867564177999665
40,feature_40,5.81119305434512,1.3440665727714143,2.410641627107837
20,feature_20,22.715616936939742,1.7939252754606574,4.766090319847049
