val_mae_per_pos,train/lr,train/masked_positions,train/mae_loss,train/avg_mae,train/avg_mse,epoch/loss,val_loss,eval/mse_per_position,train/epoch,eval/mae_per_position,_timestamp,train/masking_ratio,train/mse_per_position,val_mae,train/step,train/mae_per_position,epoch/best_eval_loss,_runtime,eval/epoch,eval/loss,train/loss,val_mse_per_pos,epoch/mae,eval/mse_loss,validation_loss,_step,validation_mae,eval/masked_positions,train/total_positions,eval/mae_loss,epoch/number,epoch/mse,eval/step,train/mse_loss,train/avg_loss,epoch/samples_processed,val_mse,validation_mse,epoch/lr,eval/is_best,eval/improvement
,,,,,,0.28212167575955394,,,,,1759298064.2957118,,,,,,Infinity,4265.261981744,,,,,0.2941387304663658,,,312,,,,,26.0,0.28212167575955394,,,,400.0,,,3.12e-05,,
,,,,,,0.27911876037716865,,,,,1759298221.8864534,,,,,,Infinity,4422.858167514,,,,,0.2916706481575966,,,324,,,,,27.0,0.27911876037716865,,,,400.0,,,3.24e-05,,
,,,,,,0.27685166150331497,,,,,1759298379.4805017,,,,,,Infinity,4580.385692724,,,,,0.2902218909561634,,,336,,,,,28.0,0.27685166150331497,,,,400.0,,,3.3600000000000004e-05,,
,,,,,,0.27601199701428414,,,,,1759298537.0097914,,,,,,Infinity,4606.526747486,,,,,0.290305699557066,,,348,,,,,29.0,0.27601199701428414,,,,400.0,,,3.48e-05,,
,3.5e-05,870037.0,0.3159729242324829,0.29289716570718216,0.35421747056820635,,,,29.15,,1759298563.1511507,0.49433920454545455,3.380314142290273e-07,,350.0,3.6317182399424726e-07,,4737.934836991,,,0.2940998375415802,,,,,350,,,1760000.0,,,,,0.2940998375415802,0.35421747056820635,,,,,,
,,,,,,0.27795239850878717,,,,,1759298694.5591767,,,,,,Infinity,4896.62837584,,,,,0.2934452772140503,,,360,,,,,30.0,0.27795239850878717,,,,400.0,,,3.6e-05,,
,,,,,,0.2758650216460228,,,,,1759298853.2527118,,,,,,Infinity,5054.203522384,,,,,0.29234778091311453,,,372,,,,,31.0,0.2758650216460228,,,,400.0,,,3.72e-05,,
,,,,,,0.27608930110931396,,,,,1759299010.8265574,,,,,,Infinity,5211.737520749,,,,,0.2922487461566925,,,384,,,,,32.0,0.27608930110931396,,,,400.0,,,3.8400000000000005e-05,,
,,,,,,0.27541900888085363,,,,,1759299168.361819,,,,,,Infinity,5262.864937106,,,,,0.2921157011389732,,,396,,,,,33.0,0.27541900888085363,,,,400.0,,,3.960000000000001e-05,,
,4e-05,877472.0,0.29158079624176025,0.2921781521062276,0.2998779187675979,,,,33.31,,1759299219.4892833,0.4985636363636364,2.925641132906992e-07,,400.0,3.3229641087323615e-07,,5369.28086109,,,0.2567168176174164,,,,,400,,,1760000.0,,,,,0.2567168176174164,0.2998779187675979,,,,,,
,,,,,,0.2720151537656784,,,,,1759299325.9052367,,,,,,Infinity,5526.783866556,,,,,0.29048008754849436,,,408,,,,,34.0,0.2720151537656784,,,,400.0,,,4.08e-05,,
,,,,,,0.2666783431172371,,,,,1759299483.4081972,,,,,,Infinity,5684.289672547,,,,,0.2845086370408535,,,420,,,,,35.0,0.2666783431172371,,,,400.0,,,4.2e-05,,
,,,,,,0.2612919797003269,,,,,1759299640.914002,,,,,,Infinity,5841.824436695,,,,,0.2801403665542603,,,432,,,,,36.0,0.2612919797003269,,,,400.0,,,4.32e-05,,
,,,,,,0.2578330720961094,,,,,1759299798.448776,,,,,,Infinity,5917.937022916,,,,,0.27695574760437014,,,444,,,,,37.0,0.2578330720961094,,,,400.0,,,4.44e-05,,
,4.5e-05,878760.0,0.2724357545375824,0.26937561356611744,0.2623584158581941,,,,37.47,,1759299874.5609982,0.49929545454545454,2.3522646875145753e-07,,450.0,3.1002293520140016e-07,,5999.321771304,,,0.20670761168003082,,,,,450,,,1760000.0,,,,,0.20670761168003082,0.2623584158581941,,,,,,
,,,,,,0.254505475461483,,,,,1759299955.9443562,,,,,,Infinity,6156.830811356,,,,,0.2730366052687168,,,456,,,,,38.0,0.254505475461483,,,,400.0,,,4.5600000000000004e-05,,
,,,,,,0.25043966084718705,,,,,1759300113.4551396,,,,,,Infinity,6314.346337486,,,,,0.26791772291064264,,,468,,,,,39.0,0.25043966084718705,,,,400.0,,,4.6800000000000006e-05,,
,,,,,,0.2490791529417038,,,,,1759300270.970735,,,,,,Infinity,6471.88572295,,,,,0.2678084492683411,,,480,,,,,40.0,0.2490791529417038,,,,400.0,,,4.8e-05,,
,,,,,,0.2477024871110916,,,,,1759300428.5102468,,,,,,Infinity,6573.090938169,,,,,0.26640303403139115,,,492,,,,,41.0,0.2477024871110916,,,,400.0,,,4.92e-05,,
1.4720012960208377e-06,5e-05,881526.0,0.22445963323116302,0.26311236455940107,0.24841648991180645,,0.9031904757022857,3.4220377756576194e-06,41.63,1.4720012960208377e-06,1759300592.105269,0.5008670454545454,1.9389534100547315e-07,0.38851048350334166,500.0,2.546262200220561e-07,,6637.699845876,41.63,0.9031904757022857,0.17092378437519073,3.4220377756576194e-06,,0.9031904757022857,0.9031904757022857,500,0.38851048350334166,263933.52,1760000.0,0.38851048350334166,,,500.0,0.17092378437519073,0.24841648991180645,,0.9031904757022857,0.9031904757022857,,1.0,Infinity
